Année,FINESS,Raison sociale,Commune,Statut Juridique,Région
2013,010000024,010000024 - CH FLEYRIAT,BOURG-EN-BRESSE,Public,82 - Rhône-Alpes
2013,010000032,010000032 - CH DOCTEUR RECAMIER BELLEY,BELLEY,Public,82 - Rhône-Alpes
2013,010000065,010000065 - CH MONTPENSIER TREVOUX,TREVOUX,Public,82 - Rhône-Alpes
2013,010000081,010000081 - CENTRE HOSPITALIER DU PAYS DE GEX,GEX,Public,82 - Rhône-Alpes
2013,010000099,010000099 - CH DE MEXIMIEUX,MEXIMIEUX,Public,82 - Rhône-Alpes
2013,010000107,010000107 - CH DE PONT DE VAUX,PONT-DE-VAUX,Public,82 - Rhône-Alpes
2013,010000115,010000115 - CENTRE HOSPITALIER  PONT-DE-VEYLE,PONT-DE-VEYLE,Public,82 - Rhône-Alpes
2013,010000131,010000131 - CENTRE HOSPITALIER  THOISSEY,THOISSEY,Public,82 - Rhône-Alpes
2013,010000180,010000180 - CH PUBLIC HAUTEVILLE UNITE ESPÉRANCE,HAUTEVILLE-LOMPNES,Public,82 - Rhône-Alpes
2013,010000198,010000198 - CH PUBLIC HAUTEVILLE UNITÉ INTERDÉPT.,HAUTEVILLE-LOMPNES,Public,82 - Rhône-Alpes
2013,010000214,010000214 - CH PUBLIC HAUTEVILLE UNITÉ ALBARINE,HAUTEVILLE-LOMPNES,Public,82 - Rhône-Alpes
2013,010000495,010000495 - C.P.A. BOURG EN BRESSE,BOURG-EN-BRESSE,Privé non lucratif,82 - Rhône-Alpes
2013,010002129,010002129 - CLINIQUE DE REEDUCATION LES ARBELLES,BOURG-EN-BRESSE,Privé lucratif,82 - Rhône-Alpes
2013,010005239,010005239 - CH DU HAUT BUGEY SITE GEOVREISSET,OYONNAX,Public,82 - Rhône-Alpes
2013,010005379,010005379 - HAD AMBERIEU EN BUGEY,AMBERIEU-EN-BUGEY,Privé non lucratif,82 - Rhône-Alpes
2013,010006526,010006526 - UNITE D'AUTODIALYSE OYONNAX AURAL,OYONNAX,Privé non lucratif,82 - Rhône-Alpes
2013,010007300,010007300 - CLINIQUE AMBULATOIRE CENDANEG,PREVESSIN-MOENS,Privé lucratif,82 - Rhône-Alpes
2013,010009314,010009314 - SSR HÔTEL DIEU,BOURG-EN-BRESSE,Public,82 - Rhône-Alpes
2013,010009702,010009702 - ESLD RÉSIDENCE ÉMILE PÉLICAND,BOURG-EN-BRESSE,Public,82 - Rhône-Alpes
2013,010780195,010780195 - CLINIQUE CONVERT - BOURG-EN-BRESSE,BOURG-EN-BRESSE,Privé lucratif,82 - Rhône-Alpes
2013,010780203,010780203 - CLINIQUE MUTUALISTE AMBERIEU EN BUGEY,AMBERIEU-EN-BUGEY,Privé non lucratif,82 - Rhône-Alpes
2013,010780252,010780252 - CRF L'ORCET - HAUTEVILLE,HAUTEVILLE-LOMPNES,Privé non lucratif,82 - Rhône-Alpes
2013,010780278,010780278 - CTRE DE RÉÉDUCATION MANGINI,HAUTEVILLE-LOMPNES,Privé non lucratif,82 - Rhône-Alpes
2013,010780294,010780294 - CENTRE DIALYSE CRAT - CH BELLEY,BELLEY,Privé lucratif,82 - Rhône-Alpes
2013,010780310,010780310 - CTRE DE PNEUMOLOGIE CLAIR SOLEIL,HAUTEVILLE-LOMPNES,Privé lucratif,82 - Rhône-Alpes
2013,010780328,010780328 - CENTRE MEDICAL LE MODERN,HAUTEVILLE-LOMPNES,Privé lucratif,82 - Rhône-Alpes
2013,010780476,010780476 - CENTRE SSR READAPT ADOLESCENTS CHANAY,CHANAY,Privé non lucratif,82 - Rhône-Alpes
2013,010780492,010780492 - CRF ROMANS-FERRARI - MIRIBEL,MIRIBEL,Privé non lucratif,82 - Rhône-Alpes
2013,010780708,010780708 - CLINIQUE SSR KORIAN GLETEINS,JASSANS-RIOTTIER,Privé lucratif,82 - Rhône-Alpes
2013,010780799,010780799 - CRF CHATEAU D'ANGEVILLE - HAUTEVILLE,HAUTEVILLE-LOMPNES,Privé non lucratif,82 - Rhône-Alpes
2013,010786259,010786259 - USLD CH NANTUA,NANTUA,Public,82 - Rhône-Alpes
2013,010789006,010789006 - CENTRE DE DIALYSE FDTSFV DE VIRIAT,VIRIAT,Privé non lucratif,82 - Rhône-Alpes
2013,010789717,010789717 - USLD CH OYONNAX,OYONNAX,Public,82 - Rhône-Alpes
2013,020000089,020000089 - CH GUISE,GUISE,Public,22 - Picardie
2013,020000097,020000097 - CH LA FÈRE,LA FERE,Public,22 - Picardie
2013,020000105,020000105 - CH LE NOUVION-EN-THIÉRACHE,LE NOUVION-EN-THIERACHE,Public,22 - Picardie
2013,020000162,020000162 - CENTRE HOSPITALIER DE SAINT-QUENTIN,SAINT-QUENTIN,Public,22 - Picardie
2013,020000246,020000246 - CH VERVINS,VERVINS,Public,22 - Picardie
2013,020000303,020000303 - LA RENAISSANCE SANITAIRE,VILLIERS-SAINT-DENIS,Privé non lucratif,22 - Picardie
2013,020000311,020000311 - CLINIQUE SAINT MARTIN COURLANCY,CHATEAU-THIERRY,Privé lucratif,22 - Picardie
2013,020000360,020000360 - CLINIQUE SAINT CHRISTOPHE COURLANCY,SOISSONS,Privé lucratif,22 - Picardie
2013,020000386,020000386 - S.A.S. CLINIQUE LA ROSERAIE,SOISSONS,Privé lucratif,22 - Picardie
2013,020000394,020000394 - CENTRE HOSPITALIER DE LAON,LAON,Public,22 - Picardie
2013,020000519,020000519 - CH SOISSONS,SOISSONS,Public,22 - Picardie
2013,020000535,020000535 - CH CHAUNY,CHAUNY,Public,22 - Picardie
2013,020000543,020000543 - ETS PUB SANTÉ MENTALE DE L'AISNE,PREMONTRE,Public,22 - Picardie
2013,020000683,020000683 - MAISON DE SANTE DE BOHAIN,BOHAIN-EN-VERMANDOIS,Public,22 - Picardie
2013,020000915,020000915 - CRF JACQUES FICHEUX SAINT-GOBAIN,SAINT-GOBAIN,Public,22 - Picardie
2013,020001061,020001061 - CENTRE HOSPITALIER JEANNE DE NAVARRE,CHATEAU-THIERRY,Public,22 - Picardie
2013,020001087,020001087 - CH HIRSON,HIRSON,Public,22 - Picardie
2013,020001772,020001772 - CENTRE D AUTODIALYSE CHAUNY,CHAUNY,Privé non lucratif,22 - Picardie
2013,020001913,020001913 - CENTRE D AUTODIALYSE LAON,LAON,Privé non lucratif,22 - Picardie
2013,020003877,020003877 - CENTRE DE MOYEN SEJOUR CH LAON,LAON,Public,22 - Picardie
2013,020004156,020004156 - CLINIQUE SAINTE MONIQUE SAINTE MARIE,SAINT-QUENTIN,Privé non lucratif,22 - Picardie
2013,020004297,020004297 - SERVICE HAD ASSOCIATION MEDICO-SOCIALE ANNE MORGAN,SOISSONS,Privé non lucratif,22 - Picardie
2013,020004677,020004677 - USLD CH SOISSONS,BELLEU,Public,22 - Picardie
2013,020005476,020005476 - USLD CH LAON,LAON,Public,22 - Picardie
2013,020006441,020006441 - CENTRE D AUTODIALYSE COURMELLES,COURMELLES,Privé non lucratif,22 - Picardie
2013,020006664,020006664 - CENTRE PSYCHOTHÉRAPIE CH ST QUENTIN,SAINT-QUENTIN,Public,22 - Picardie
2013,020010047,020010047 - POLICLINIQUE ST CLAUDE,SAINT-QUENTIN,Privé lucratif,22 - Picardie
2013,020010310,020010310 - ASSOCIATION AURORE,BUCY-LE-LONG,Privé non lucratif,22 - Picardie
2013,020010898,020010898 - SERVICE D HOSPITALISATION A DOMICILE,CHAUNY,Privé non lucratif,22 - Picardie
2013,020011698,020011698 - SERVICE HOSPITALISATION A DOMICILE,LAON,Privé non lucratif,22 - Picardie
2013,020012613,020012613 - CENTRE D AUTODIALYSE BRASLES,BRASLES,Privé non lucratif,22 - Picardie
2013,020012860,020012860 - CENTRE D AUTODIALYSE SAINT QUENTIN,SAINT-QUENTIN,Privé non lucratif,22 - Picardie
2013,020014767,020014767 - SERVICE HOSPITALISATION A DOMICILE,SAINT-QUENTIN,Privé non lucratif,22 - Picardie
2013,030000012,030000012 - CH DE NERIS LES BAINS,NERIS-LES-BAINS,Public,83 - Auvergne
2013,030000061,030000061 - CENTRE HOSPITALIER MOULINS YZEURE,MOULINS,Public,83 - Auvergne
2013,030000079,030000079 - CENTRE HOSPITALIER DE MONTLUCON,MONTLUCON,Public,83 - Auvergne
2013,030000087,030000087 - CH JACQUES LACARIN VICHY,VICHY,Public,83 - Auvergne
2013,030000095,030000095 - CH BOURBON L'ARCHAMBAULT,BOURBON-L'ARCHAMBAULT,Public,83 - Auvergne
2013,030000160,030000160 - CENTRE HOSPITALIER SPECIALISE D'AINAY,AINAY-LE-CHATEAU,Public,83 - Auvergne
2013,030001689,030001689 - CENTRE DE RADIOTHERAPIE JOSEPH BELOT,DESERTINES,Privé lucratif,83 - Auvergne
2013,030002208,030002208 - CH DPT COEUR DU BOURBONNAIS,TRONGET,Public,83 - Auvergne
2013,030003669,030003669 - UNITE DE DIALYSE DE MONTLUCON,MONTLUCON,Privé non lucratif,83 - Auvergne
2013,030003719,030003719 - UNITE DE DIALYSE DE MOULINS,MOULINS,Privé non lucratif,83 - Auvergne
2013,030003768,030003768 - UNITE DE DIALYSE DE VICHY,VICHY,Privé non lucratif,83 - Auvergne
2013,030780548,030780548 - POLYCLINIQUE LA PERGOLA,VICHY,Privé lucratif,83 - Auvergne
2013,030781116,030781116 - POLYCL. ST FRANCOIS-ST ANTOINE,DESERTINES,Privé lucratif,83 - Auvergne
2013,030781637,030781637 - SERVICE DE PSYCHIATRIE CHATELARD,SAINT-ANGEL,Public,83 - Auvergne
2013,030785430,030785430 - POLYCLINIQUE SAINT-ODILON,MOULINS,Privé lucratif,83 - Auvergne
2013,040000028,040000028 - HOPITAL DIEUDONNE COLLOMP BANON,BANON,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000036,040000036 - CENTRE HOSPITALIER PIERRE GROUES DE BARCELONNETTE,BARCELONNETTE,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000044,040000044 - HOPITAL LOCAL DE CASTELLANE,CASTELLANE,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000051,040000051 - HOPITAL LOCAL GLANDEVES D'ENTREVAUX,ENTREVAUX,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000069,040000069 - HOPITAL LOCAL ST MICHEL DE FORCALQUIER,FORCALQUIER,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000077,040000077 - HOPITAL LOCAL SAINTE ANNE DE JAUSIERS,JAUSIERS,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000085,040000085 - HOPITAL LOCAL LES MEES,LES MEES,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000093,040000093 - CENTRE HOSPITALIER DE MANOSQUE,MANOSQUE,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000119,040000119 - HOPITAL LOCAL LUMIERE DE RIEZ,RIEZ,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000127,040000127 - Etablissement Public de Santé Vallée de la Blanche,SEYNE,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000135,040000135 - SITE DE SISTERON,SISTERON,Public,93 - Provence-Alpes-Côte d'Azur
2013,040000911,040000911 - CENTRE HOSPITALIER DE DIGNE LES BAINS,DIGNE-LES-BAINS,Public,93 - Provence-Alpes-Côte d'Azur
2013,040002248,040002248 - USLD DU CENTRE DES CARMES,AIGLUN,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040003113,040003113 - AUTODIALYSE CH SISTERON,SISTERON,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040780389,040780389 - SA GEMAVI - CLINIQUE JEAN GIONO,MANOSQUE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040780405,040780405 - CENTRE DES CARMES,AIGLUN,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040780470,040780470 - CLINIQUE TOUTES AURES,MANOSQUE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040780488,040780488 - CRF DE HAUTE PROVENCE L'EAU VIVE,TURRIERS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040780520,040780520 - SOINS DE SUITE LE VERDON,GREOUX-LES-BAINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040782021,040782021 - UGECAM CENTRE MEDICAL LE COUSSON,DIGNE-LES-BAINS,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040784860,040784860 - HEMODIALYSE DES ALPES TOUTES AURES,MANOSQUE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,040787541,040787541 - AUTODIALYSE CH CHARLES ROMIEU,DIGNE-LES-BAINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000041,050000041 - CENTRE MEDICAL RHONE AZUR,BRIANCON,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000058,050000058 - CENTRE MEDICAL RIO VERT,LA SAULCE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000066,050000066 - CENTRE MEDICAL LA SOURCE,SAINT-LEGER-LES-MELEZES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000090,050000090 - POLYCLINIQUE DES ALPES DU SUD,GAP,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000132,050000132 - CH BUECH DURANCE SIEGE,LARAGNE-MONTEGLIN,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000223,050000223 - HOPITAL LOCAL D'AIGUILLES,AIGUILLES,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000231,050000231 - CH DES ESCARTONS DE BRIANCON,BRIANCON,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000256,050000256 - CENTRE HOSPITALIER D'EMBRUN,EMBRUN,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000298,050000298 - LA GUISANE,VILLAR-SAINT-PANCRACE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000306,050000306 - LES HIRONDELLES,VILLAR-SAINT-PANCRACE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000330,050000330 - CHABRE COURT SEJOUR SSR,LARAGNE-MONTEGLIN,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000348,050000348 - SITE DE GAP,GAP,Public,93 - Provence-Alpes-Côte d'Azur
2013,050000371,050000371 - LES JEUNES POUSSES,BRIANCON,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000454,050000454 - LE FUTUR ANTERIEUR,EMBRUN,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000462,050000462 - VAL PRE VERT,ABRIES,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000488,050000488 - CTRE DES MALADIES RESPIRATOIRES ET ALLERGIQUES,BRIANCON,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000637,050000637 - CENTRE MEDICAL MONTJOY,BRIANCON,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050000991,050000991 - CENTRE MEDICAL CHANT'OURS,BRIANCON,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050001064,050001064 - CENTRE MEDICAL LA DURANCE,TALLARD,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050002351,050002351 - CENTRE MEDICAL RHONE AZUR,GAP,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050003359,050003359 - UNITE DE DIALYSE MEDICALISEE AGDUC,BRIANCON,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050006022,050006022 - UNITE D'AUTODIALYSE AGDUC ADRET,GAP,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,050006436,050006436 - MEDECINE GERIATRIQUE SITE GAP ADRET,GAP,Public,93 - Provence-Alpes-Côte d'Azur
2013,050007368,050007368 - GCS HAD DES ALPES DU SUD,GAP,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060000163,060000163 - HOPITAL LOCAL ST MAUR ST ETIENNE TINEE,SAINT-ETIENNE-DE-TINEE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000296,060000296 - LA MAISON DU MINEUR,VENCE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060000304,060000304 - CENTRE HOSPITALIER DE BREIL SUR ROYA,BREIL-SUR-ROYA,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000411,060000411 - HL DU PAYS DE LA ROUDOULE A PUGET,PUGET-THENIERS,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000445,060000445 - CTRE REEDUC CARDIO RESP VAL GORBIO,MENTON,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000478,060000478 - CENTRE HOSPITALIER DE GRASSE,GRASSE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000486,060000486 - HOPITAL LOCAL SAINT ELOI DE SOSPEL,SOSPEL,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000494,060000494 - HOPITAL LOCAL SAINT LAZARE DE TENDE,TENDE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000510,060000510 - CH D'ANTIBES JUAN LES PINS,ANTIBES,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000528,060000528 - CENTRE ANTOINE LACASSAGNE,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060000536,060000536 - HOPITAUX DE LA VESUBIE,ROQUEBILLIERE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000544,060000544 - CH PIERRE NOUVEAU CANNES,CANNES,Public,93 - Provence-Alpes-Côte d'Azur
2013,060000551,060000551 - CENTRE DE LONG SEJOUR,VALLAURIS,Public,93 - Provence-Alpes-Côte d'Azur
2013,060001450,060001450 - HOPITAL SAINT ROCH DU CHU DE NICE,NICE,Public,93 - Provence-Alpes-Côte d'Azur
2013,060002102,060002102 - CH LA PALMOSA DE MENTON,MENTON,Public,93 - Provence-Alpes-Côte d'Azur
2013,060005469,060005469 - Clinique L'Oliveraie des Cayrons,VENCE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060006558,060006558 - HAD A.TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060010188,060010188 - CSR DOMUS VI WILSON,ANTIBES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060010949,060010949 - UNITE DE DIALYSE MEDICALISEE ANTIBES,ANTIBES,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060015328,060015328 - MECS LES AIRELLES,GRASSE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060019213,060019213 - SLD TIERS TEMPS LE CANNET,LE CANNET,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060019288,060019288 - GCS HOPITAUX PEDIATRIQUES NICE CHU LENVAL,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060019627,060019627 - CENTRE AZUREEN CANCEROLOGIE,MOUGINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060019676,060019676 - AUTODIALYSE AGATHIR CH PETIT PARIS,GRASSE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060019684,060019684 - AUTODIALYSE MENTON,MENTON,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060021201,060021201 - CENTRE DE SOINS DE SUITE ATLANTIS,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060021276,060021276 - HEMODIALYSE AMB AGATHIR,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060021342,060021342 - CENTRE DE HAUTE ENERGIE,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060021417,060021417 - HOPITAL PRIVE CANNES OXFORD,CANNES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060021631,060021631 - GCS HOPITAUX PEDIATRIQUES NICE L'ARCHET,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060022845,060022845 - UNITE DIALYSE MEDICALISEE INST TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780145,060780145 - CLINIQUE SAINT DOMINIQUE,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780186,060780186 - LES LAURIERS ROSES ETABLISSEMENT SSR,LEVENS,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780277,060780277 - Clinique Sainte Brigitte,GRASSE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780343,060780343 - SARL SSR SAINT JEAN,CAGNES-SUR-MER,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780350,060780350 - CLINIQUE LA PINEDE,CONTES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780392,060780392 - CENTRE MONTSINERY,ANTIBES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780442,060780442 - CLINIQUE SAINT FRANCOIS,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780459,060780459 - CLINIQUE ORSAC MONT FLEURI,GRASSE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780491,060780491 - INSTITUT ARNAULT TZANCK,SAINT-LAURENT-DU-VAR,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780517,060780517 - POLYCLINIQUE SAINT JEAN,CAGNES-SUR-MER,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780525,060780525 - CLINIQUE LE VAL D'ESTREILLES,PEGOMAS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780541,060780541 - CLINIQUE LA GRANGEA,MOUGINS,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780558,060780558 - CLINIQUE LES CADRANS SOLAIRES,VENCE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780590,060780590 - CLINIQUE DU PALAIS,GRASSE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780665,060780665 - CLINIQUE LE MERIDIEN,CANNES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780699,060780699 - CLINIQUE MOZART,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780715,060780715 - CLINIQUE SAINT GEORGE,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780723,060780723 - CLINIQUE DU PARC IMPERIAL,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780749,060780749 - CLINIQUE SAINT LUC / ets SSR VILLA ROMAINE,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780756,060780756 - POLYCLINIQUE SANTA MARIA,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780947,060780947 - HOPITAUX PEDIATRIQUES NICE CHU LENVAL,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060780996,060780996 - CH SAINTE MARIE,NICE,Privé non lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060781200,060781200 - CLINIQUE SAINT ANTOINE,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060781374,060781374 - INSTITUT POLYCLINIQUE DE CANNES,CANNES,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
2013,060781929,060781929 - CLINIQUE DE LA COSTIERE,NICE,Privé lucratif,93 - Provence-Alpes-Côte d'Azur
