,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
3318,10000024,10780054,2016,214.34,230.6,522.6800000000001,328.93,490.71,271403.0
3320,10000065,10780096,2016,19.49,20.65,62.25,21.22,111.47,2216.0
3321,10005239,10008407,2016,54.05,59.22,117.08,72.81,166.39,98832.0
3322,10780195,10000156,2016,67.3,33.74,128.28,19.73,67.48,33684.0
3323,10780203,10010718,2016,41.33,38.06,62.82,13.57,66.77,32235.0
3324,20000097,20000048,2016,8.2,16.72,31.72,20.72,63.79,3956.0
3325,20000162,20000063,2016,250.03,237.94,555.8299999999999,389.29,629.5300000000001,369862.0
3326,20000246,20000071,2016,4.01,9.43,15.79,19.01,31.24,2393.0
3327,20000394,20000253,2016,111.17,129.51,285.72,153.93,273.65000000000003,48645.0
3328,20000519,20000261,2016,139.2,154.28,387.28,201.48,376.57,233687.0
3330,20001061,20004404,2016,87.15,79.57,172.48000000000002,125.02,221.15,98706.0
3331,20001087,20004495,2016,18.97,36.97,46.33,44.33,63.58,7188.0
3332,20010047,20001632,2016,54.7,33.0,89.0,13.4,143.7,24360.0
3333,30000061,30780092,2016,170.54,213.36,631.21,324.72,650.0699999999999,251416.0
3334,30000079,30780100,2016,145.38,127.14,349.99,294.36,472.08,212390.0
3335,30000087,30780118,2016,181.22,189.6,562.65,317.62,667.2,192116.0
3336,30780548,30000194,2016,41.06999999999999,15.56,46.3,8.4,50.96,7777.0
3337,30781116,30000426,2016,68.33,43.6,136.2,19.8,166.94,27204.0
3338,30785430,30785422,2016,35.87,19.43,43.4,7.220000000000001,47.36,10833.0
3339,40000093,40780215,2016,72.49,74.96,188.76,63.19,248.55,131732.0
3340,40000135,50002948,2016,19.58,13.88,49.4,39.54,49.58,59953.0
3341,40000911,40788879,2016,74.0,107.26,324.84,169.12,247.75,96006.0
3342,40780470,40000192,2016,17.84,11.2,18.5,2.5,19.5,6047.0
3343,50000090,50006931,2016,48.87,15.7,34.5,5.2,38.6,12794.0
3344,50000231,50000116,2016,58.900000000000006,64.98,162.29000000000002,98.43,132.75,64082.0
3345,50000348,50002948,2016,133.79,173.86,338.95000000000005,223.28000000000003,378.61,176844.0
3346,60000478,60780897,2016,134.38,134.89,323.79,200.17,323.69,183405.0
3347,60000510,60780954,2016,154.76999999999998,169.18,391.28,190.7,452.77,150861.0
3348,60000528,60780962,2016,110.21,137.2,164.89,189.42,127.52,185570.0
3349,60000544,60780988,2016,181.66,185.58,465.17,317.77,602.71,198227.0
3350,60002102,60791761,2016,44.6,49.25,83.78,60.05,112.75,49795.0
3351,60021417,60000221,2016,69.99,23.99,51.400000000000006,10.56,48.97,17125.0
3353,60780491,60790797,2016,95.72,36.39,104.39,10.32,96.31,33549.0
3354,60780517,60000239,2016,88.87,63.68,113.67,37.48,168.29,61336.0
3355,60780590,60000270,2016,30.19,12.58,20.65,2.73,24.09,8397.0
3357,60780715,60000361,2016,217.08,64.4,144.3,65.5,257.2,60707.0
3358,60780723,60004959,2016,69.69,30.97,53.510000000000005,20.73,54.74,33625.0
3359,60780756,60000403,2016,50.83,23.82,37.18,7.71,69.39,11577.0
3360,60780947,60800174,2016,105.75,129.4,177.8,39.1,162.45,66267.0
3361,60781200,60000635,2016,74.28,25.08,34.31,13.73,68.55,12188.0
3362,60785003,60785011,2016,435.39,374.72,792.2699999999999,685.24,1027.9,459416.0
3363,60785219,60001468,2016,96.44,33.41,53.66,20.04,61.760000000000005,12977.0
3364,60788957,60785011,2016,63.3,246.4,134.64999999999998,223.43,282.08000000000004,24205.0
3365,60789195,60785011,2016,289.1,211.93,485.33,408.77,711.59,321251.0
3366,60791811,60010808,2016,29.01,44.43,83.75,47.82,144.38,3653.0
3367,60794013,60790797,2016,51.21,34.67,62.16,9.26,49.2,15897.0
3368,60800166,60780608,2016,87.37,37.14,82.11999999999999,18.67,64.41,17204.0
3369,70000013,70002878,2016,49.29,70.67,112.48,77.13,116.74,81944.0
3370,70000179,70780358,2016,105.47,107.88,255.52,141.26,286.04,188875.0
3371,70000195,70780374,2016,6.35,12.23,21.14,20.56,48.11,1621.0
3372,70000609,70005566,2016,88.36,94.8,203.3,186.68,211.31,29013.0
3373,70780168,70000088,2016,16.529999999999998,15.09,29.07,3.33,18.19,5532.0
3374,70780424,70000245,2016,85.2,49.37,144.13,21.78,158.91,30206.0
3375,80000110,80000037,2016,54.7,65.83,173.60000000000002,83.08,201.15,101813.0
3376,80000219,80001969,2016,34.65,40.91,70.81,39.09,71.18,80338.0
3377,80000425,80000615,2016,182.72,210.15,478.82,377.85,511.7699999999999,357110.0
3378,80010473,80010242,2016,29.33,26.98,55.64,,27.05,10107.0
3379,90000175,90781774,2016,140.9,145.89,310.02,184.08,352.46,235778.0
3380,90000183,90781816,2016,62.84,81.52,271.32,148.34,264.74,57780.0
3381,100000082,100001148,2016,16.9,8.1,15.48,1.73,18.25,4067.0
3382,100000090,100000017,2016,252.76,246.41,547.09,362.63,587.99,309452.0
3383,100000124,100009075,2016,31.88,14.84,47.9,2.7,56.67,8746.0
3385,100000199,100006279,2016,32.34,43.69,81.25,56.22,96.89,36622.0
3387,110000023,110780061,2016,199.39,231.9,459.38,356.01,490.69999999999993,225567.0
3388,110000056,110780137,2016,132.4,135.64,295.95,166.11,289.08,194307.0
3389,110000189,110780707,2016,8.0,16.1,24.3,33.8,49.75,501.0
3391,110780228,110000114,2016,72.95,49.55,171.38,26.63,171.68,52886.0
3392,110780483,110000155,2016,78.87,28.88,74.4,10.33,79.04,32171.0
3393,120000039,120780044,2016,167.95,189.63,433.81,267.14,395.64,273216.0
3394,120000054,120780069,2016,57.78,81.63,124.01999999999998,126.66,145.37,64653.0
3395,120000070,120780085,2016,31.51,30.9,78.0,69.72,116.7,12004.0
3396,120004569,120004528,2016,67.14,79.92,173.5,134.44,171.78,56705.0
3397,120004668,120004619,2016,28.19,33.24,77.14999999999999,47.73,129.61,95519.0
3398,130000409,130041916,2016,287.64,254.05,592.42,378.14,741.45,317042.0
3399,130000565,130781446,2016,113.25,107.44,206.43,114.29,280.86,123399.0
3400,130001225,130782634,2016,113.08,134.24,274.11,123.59,333.03,63126.0
3401,130001647,130784127,2016,233.17,231.63,370.61,328.65,204.19,235498.0
3402,130002215,130785512,2016,42.16,48.7,109.8,103.9,193.85,56582.0
3403,130002827,130789274,2016,109.36,136.88,297.03000000000003,241.93,333.26,165180.0
3404,130002835,130789316,2016,155.77,169.31,289.32,220.6,342.99,261272.0
3405,130008253,130001084,2016,42.21,16.92,25.9,,38.97,8239.0
3406,130037922,130037823,2016,60.63,26.87,115.37,7.12,60.49,10157.0
3408,130042096,130042062,2016,13.5,2.5,26.6,3.97,13.0,3290.0
3409,130043664,130002157,2016,207.36,170.32,381.1,43.74,358.02,72614.0
3410,130780521,130786049,2016,491.67,358.5,1134.27,710.0699999999999,1117.53,485485.0
3412,130781370,130000532,2016,28.28,19.07,35.54,5.88,41.34,8153.0
3413,130781479,130000599,2016,240.56,84.18,233.36,45.23,114.61,31996.0
