,Unnamed: 0,FI,FI_EJ,AN,CLIN_STAFF,ADMIN,NURSES,NONCLI,OTHERCLI,INPATIENT
0,4392,10000024,10780054,2017,222.53000000000003,233.27,517.7,336.15000000000003,487.84,273962.0
1,4394,10000065,10780096,2017,20.12,18.53,65.84,22.06,110.04,2290.0
2,4395,10005239,10008407,2017,52.82,60.94,120.86,78.72999999999999,161.11,96147.0
3,4396,10780195,10000156,2017,70.58,35.17,132.20999999999998,19.96,67.91,35595.0
4,4397,10780203,10010718,2017,39.28,38.41,60.85,10.67,71.46000000000001,34822.0
5,4398,20000097,20000048,2017,7.199999999999999,16.86,29.86,20.72,65.05,3874.0
6,4399,20000162,20000063,2017,247.23,234.27,549.13,386.66,625.83,364364.0
7,4400,20000246,20000071,2017,3.7,9.48,16.73,19.3,35.55,1537.0
8,4402,20000394,20000253,2017,110.32,127.03,322.35,168.62,400.45,46222.0
9,4403,20000519,20000261,2017,138.13,153.58,389.58,206.77,383.71,226927.0
10,4405,20001061,20004404,2017,86.25,80.86,171.73000000000002,128.13,224.69,107327.0
11,4406,20001087,20004495,2017,14.77,36.59,47.68000000000001,43.74,63.68000000000001,9875.0
12,4407,20010047,20001632,2017,55.41,30.0,85.0,14.4,139.96,27483.0
13,4408,30000061,30780092,2017,172.15,208.89,626.98,321.18,654.96,194374.0
14,4409,30000079,30780100,2017,143.01,124.56,346.94,294.44,468.0,172825.0
15,4410,30000087,30780118,2017,196.19,181.64,554.39,314.59000000000003,644.95,193911.0
16,4411,30780548,30000194,2017,40.16,16.8,49.08,10.33,62.44,7654.0
17,4412,30781116,30000426,2017,69.61,43.6,136.2,19.8,166.94,26554.0
18,4413,30785430,30785422,2017,34.44,21.58,48.11,6.25,46.52,10773.0
19,4414,40000093,40780215,2017,67.88,75.4,199.07,65.82,252.76,83029.0
20,4415,40000135,50002948,2017,20.7,14.41,48.67,37.23,49.75,43875.0
21,4416,40000911,40788879,2017,81.27,110.69,326.93,166.36,243.07,110090.0
22,4417,40780470,40000192,2017,21.14,11.2,20.0,2.5,18.5,6029.0
23,4418,50000090,50006931,2017,51.31,16.0,33.5,5.0,33.2,12185.0
24,4419,50000231,50000116,2017,74.75,64.05,167.76,99.73,134.06,71660.0
25,4420,50000348,50002948,2017,145.25,173.16,337.01,239.14,385.17,144918.0
26,4421,60000478,60780897,2017,131.38,133.2,334.43,199.01,330.25,182579.0
27,4422,60000510,60780954,2017,169.42000000000002,176.83,406.93000000000006,199.03,471.32,156944.0
28,4423,60000528,60780962,2017,100.59,130.14,154.87,196.58,122.57,175529.0
29,4424,60000544,60780988,2017,182.7,189.37,469.71,323.19,587.12,205318.0
30,4425,60002102,60791761,2017,44.22,53.74,87.22,61.67,115.95,34146.0
31,4426,60021417,60000221,2017,69.99,20.16,53.32,9.52,51.51,16935.0
32,4428,60780491,60790797,2017,88.07,38.46,108.37,10.33,107.27,34311.0
33,4429,60780517,60000239,2017,99.34,68.21,123.76,36.510000000000005,164.75,68351.0
34,4430,60780590,60000270,2017,29.6,12.5,19.93,3.63,22.56,8808.0
35,4432,60780715,60000361,2017,210.5,74.83,139.35,64.1,267.2,62149.0
36,4433,60780723,60004959,2017,69.89,32.9,56.82,19.4,44.02,33270.0
37,4434,60780756,60000403,2017,52.26,21.93,35.06,7.71,65.85,12202.0
38,4435,60780947,60800174,2017,109.71,117.9,184.48,41.54,165.67,195086.0
39,4436,60781200,60000635,2017,77.86999999999999,26.4,34.31,16.22,64.24000000000001,11283.0
40,4437,60785003,60785011,2017,440.64,351.85,711.94,632.46,989.63,502947.0
41,4438,60785219,60001468,2017,95.85,33.49,51.65,18.12,65.91,13193.0
42,4439,60788957,60785011,2017,63.03,234.58,119.09,202.28,253.32,45148.0
43,4440,60789195,60785011,2017,283.28,202.54,445.29,392.45,665.8,299688.0
44,4441,60791811,60010808,2017,37.6,45.18,83.15,52.13,145.52,5683.0
45,4442,60794013,60790797,2017,50.34,35.7,69.25,11.43,52.37,16057.0
46,4443,60800166,60780608,2017,87.51,36.14,78.59,18.450000000000003,66.77,16623.0
47,4444,70000013,70002878,2017,45.0,73.5,110.06,79.72999999999999,115.25,59185.0
48,4445,70000179,70780358,2017,111.15,112.5,257.58000000000004,155.03,290.46000000000004,179774.0
49,4446,70000195,70780374,2017,6.340000000000001,13.12,24.04,20.34,46.05,1653.0
50,4447,70000609,70005566,2017,84.28,101.49,205.45,190.62,216.14,43253.0
51,4448,70780168,70000088,2017,16.669999999999998,15.18,28.56,4.92,17.28,5648.0
52,4449,70780424,70000245,2017,83.4,46.61,109.63,21.49,147.1,31138.0
53,4450,80000110,80000037,2017,53.55,65.11,168.72000000000003,80.17,203.64,65179.0
54,4451,80000219,80001969,2017,35.98,43.41,69.67,39.96,73.55,78614.0
55,4452,80000425,80000615,2017,183.29,212.14,477.59,377.19,499.88,258552.0
57,4454,90000175,90781774,2017,148.3,145.55,308.38,188.92,360.99,241811.0
58,4455,90000183,90781816,2017,56.93,82.59,271.59000000000003,148.57999999999998,263.36999999999995,72223.0
59,4456,100000082,100001148,2017,16.9,8.17,15.29,1.85,17.91,3807.0
60,4457,100000090,100000017,2017,256.61,253.25,544.32,366.81,603.86,295183.0
61,4458,100000124,100009075,2017,29.16,16.28,50.83,2.3,56.11,8744.0
62,4460,100000199,100006279,2017,32.34,43.02,83.51,58.09,89.46000000000001,25094.0
