JAHR,KT,Status,Inst,Adr,Ort,Typ,Notfalldienst,Infrastruktur1,Infrastruktur2,Infrastruktur3,Infrastruktur4,RWStatus,Akt,SL,WB,AnzStand,SA,RForm,LA,AmbKonsT,Ptage,PtageStatT,PtageStatMST,Aust,AustStatT,AustStatMST,Neug,NeugStatT,NeugStatMST,pAkutPT,Ops,Gebs,CMIb,CMIn,pAuPat,pPatWAU,pAkPat,pPatWAK,pZusVers,pPatLKP,pPatHOK,TeilsP,Leist,FMHKat,PersA,PersAWB,PersP,PersMT,PersS,PersT,StdBelA,StdBelP,PersAFall,PersPFall,PersMTFall,PersSFall,PersTFall,PersAFallMS,PersPFallMS,PersMTFallMS,PersTFallMS,AnzBelA,AnzBelP (nur ab KZP2010),pMRI_AMB,pMRI_STAT,pCT_AMB,pCT_STAT,pANGIO_AMB,pANGIO_STAT,pDIA_AMB,pDIA_STAT,AwBesold,AwInvest,AwSonst,AwT,EtMedL,EtSonst,EtSubv,EtDef,EtT,FiErg,EtAmb,AmbKonsA,PtageStatA,PtageStatMSA,AustStatA,AustStatMSA,Betten,BettenStatA,DAD,DADakut,DADStatA,DADStatMSA,DADlong,pBettenBel,pBettenBelStatA,CMIbA,CMInA,KostAmbA,KostOKPAmbA,KostStatA,KostKVGStatA,AnlKVGStatA,KostZvOKPStatA,AnlZvOKPStatA,KostLangA,AuftragLFA,KostAWLFA,KostWBLFA,KostForLFA,ErlAmbStatLangA,ErlAmbA,ErlOKPAmbA,ErlStatA,ErlKVGStatA,ErlKVGStatVA,ErlZvOKPStatA,ErlZvOKPStatVA,ErlLangA,AmbKonsP,PtageStatP,PtageStatMSP,AustStatP,AustStatMSP,BettenStatP,DADStatP,DADStatMSP,pBettenBelStatP,DMI_P,KostAmbP,KostOKPAmbP,KostStatP,KostKVGStatP,AnlKVGStatP,KostZvOKPStatP,AnlZvOKPStatP,KostLangP,AuftragLFP,KostAWLFP,KostWBLFP,KostForLFP,ErlAmbStatLangP,ErlAmbP,ErlOKPAmbP,ErlStatP,ErlKVGStatP,ErlKVGStatVP,ErlZvOKPStatP,ErlZvOKPStatVP,ErlLangP,AmbKonsR,PtageStatR,PtageStatMSR,AustStatR,AustStatMSR,BettenStatR,DADStatR,DADStatMSR,pBettenBelStatR,DMI_R,KostAmbR,KostOKPAmbR,KostStatR,KostKVGStatR,AnlKVGStatR,KostZvOKPStatR,AnlZvOKPStatR,KostLangR,AuftragLFR,KostAWLFR,KostWBLFR,KostForLFR,ErlAmbStatLangR,ErlAmbR,ErlOKPAmbR,ErlStatR,ErlKVGStatR,ErlKVGStatVR,ErlZvOKPStatR,ErlZvOKPStatVR,ErlLangR,AmbKonsB,PtageStatB,PtageStatMSB,AustStatB,AustStatMSB,BettenStatB,DADStatB,DADStatMSB,pBettenBelStatB,CMIbB,CMInB,KostAmbB,KostOKPAmbB,KostStatB,KostKVGStatB,AnlKVGStatB,KostZvOKPStatB,AnlZvOKPStatB,KostLangB,AuftragLFB,KostAWLFB,KostWBLFB,KostForLFB,ErlAmbStatLangB,ErlAmbB,ErlOKPAmbB,ErlStatB,ErlKVGStatB,ErlKVGStatVB,ErlZvOKPStatB,ErlZvOKPStatVB,ErlLangB,PTageLang,AustLang,KostLangT
2008,AG,privat,aarReha Schinznach,Badstrasse 55,5116 Schinznach Bad,K221,Nein,,,,,,,,,,,,,,32577,,,1573,,,0,,,0,0,,NA,NA,0.254291163,,43.42021615,,33.88429752,,,0,17,6,14.03,,32.06,,86.72,132.81,,,0.891926256,2.038143675,,5.513032422,8.443102352,,,,,2,,,,,,,,,,11549,1041,3273,15863,15525,492,0,,,154,1496,,,,,,96,,20.71010807,0,,,20.71010807,92.71687158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Asana Gruppe AG Spital Leuggern,Kommendeweg,5316 Leuggern,K123,Ja,,,,,,,,,,,,,,14616,,,2767,,,443,,,100,2,,0.672,0.667,3.216479942,,2.096132996,,14.5645103,,,0,30,2,13.06,,46.8,,72.45,132.31,,,0.471991326,1.691362486,,2.618359234,4.781713047,,,,,39,,,,,,,,,,13871,1909,5233,21013,14403,413,9019,,,2822,3422,,,,,,45,,5.28225515,5.28225515,,,0,88.7431694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Asana Gruppe AG Spital Menziken,Spitalstrasse 1,5737 Menziken,K123,Ja,,,,,,,,,,,,,,19914,,,3517,,,214,,,100,3,,0.745,0.747,0.36963321,,5.82883139,,13.7048621,,,0,16,12,16.85,,63.27,,110.38,190.5,,,0.479101507,1.7989764,,3.138470287,5.416548194,,,,,11,,,,,,,,,,17324,2000,10422,29746,17381,504,11986,,,125,3453,,,,,,56,,5.662212113,5.662212113,,,0,97.16042155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,privat,Bad Schinznach AG Privat­Klinik Im Park,Badstrasse 50,5116 Schinznach Bad,K221,Nein,,,,,,,,,,,,,,16921,,,744,,,0,,,0,0,,NA,NA,0.672043011,,65.32258065,,87.7688172,,,0,8,0,3.5,,22.2,,85.35,111.05,,,0.470430108,2.983870968,,11.47177419,14.92607527,,,,,1,,,,,,,,,,9276,1169,3841,14286,14334,513,0,,,561,1409,,,,,,55,,22.74327957,0,,,22.74327957,84.28891656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,privat,Geburtshus Storchenäscht AG,Bahnhofstrasse 11,5600 Lenzburg,K232,Nein,,,,,,,,,,,,,,565,,,119,,,119,,,100,0,,0.355,0.355,0,,14.28571429,,14.28571429,,,0,3,0,0,,2,,5.8,7.8,,,0,1.680672269,,4.87394958,6.554621849,,,,,5,,,,,,,,,,399,130,126,655,670,0,0,,,15,0,,,,,,2.02739726,,4.74789916,4.74789916,,,0,76.35135135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Gesundheitszentrum Fricktal,Riburgerstrasse 12,4310 Rheinfelden,K122,Ja,CT,,MRI,,,,,,,,,,,42320,,,6420,,,346,,,100,6,,0.801,0.812,2.69470405,,5.716510903,,21.77570093,,,0,25,4,55.6,,174.37,,216.17,446.14,,,0.866043614,2.716043614,,3.367133956,6.949221184,,,,,27,,,,,,,,,,44816,3098,13168,61082,35431,3008,22690,,,47,7760,,,,,,132,,6.591900312,6.591900312,,,0,87.59728432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,privat,Hirslanden Klinik Aarau,Schänisweg 1,5001 Aarau,K122,Ja,CT,LITO,MRI,,,,,,,,,,,43971,,,8005,,,678,,,100,7,,0.931,0.948,0.974391006,,19.93753904,,63.94753279,,,5920,43,1,9,,150.04,,240.22,399.26,,,0.112429731,1.874328545,,3.000874453,4.98763273,,,,,120,,,,,,,,,,43327,24672,38371,106370,103620,6180,0,,,3430,17314,,,,,,117,,5.492941911,5.492941911,,,0,102.9645241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Kantonsspital Aarau AG,Tellstrasse 15,5001 Aarau,K112,Ja,CT,LITO,MRI,PET,,,,,,,,,,181282,,,23369,,,1193,,,100,14,,1.015,1.069,0.517779965,,10.45829946,,17.6216355,,,0,61,75,428.71,,1141.22,,794.82,2364.75,,,1.83452437,4.883478112,,3.401172493,10.11917498,,,,,2,,,,,,,,,,261464,19000,125731,406195,286648,16684,105223,,,2360,115456,,,,,,542,,7.757370876,7.757370876,,,0,91.63524238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Kantonsspital Baden AG,Im Ergel,5404 Baden,K112,Ja,CT,LITO,MRI,,,,,,,,,,,119687,,,15305,,,1158,,,100,8,,0.867,0.934,0.457366874,,3.462920614,,20.91473375,,,0,56,66,207,,431,,566.28,1204.28,,,1.352499183,2.816073179,,3.699967331,7.868539693,,,,,49,,,,,,,,,,125736,9359,72067,207162,139454,8578,59444,,,314,57384,,,,,,353.2164384,,7.820124142,7.820124142,,,0,92.83531383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,AG,öffentlich oder subventioniert,Klinik Barmelweid AG,Barmelweid,5017 Barmelweid,K235,Nein,,,,,,,,,,,,,,46820,,,2340,,,0,,,67.46262281,0,,NA,NA,0.213675214,,26.62393162,,25.94017094,,,0,15,5,34.4,,80.79,,153.09,268.28,,,1.47008547,3.452564103,,6.542307692,11.46495726,,,,,4,,,,,,,,,,25856,1070,10709,37635,34913,1229,1561,,,68,96,,,,,,130,,20.00854701,20.04187817,,,19.93979058,98.40269021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
